,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{eff}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z
8134,855047300.0,515427840.0,5644603400.0,3.765401,0.13607265,63.793316,38.561047,7015079000.0,0.7
8135,11098363000.0,1581822800.0,96780900000.0,24.302109,0.49104914,103.257545,55.920986,109467050000.0,0.7
8136,9550179000.0,1804758000.0,102107430000.0,26.10959,0.3704568,99.22618,55.178005,113469380000.0,0.7
8137,9825132000.0,1318726400.0,101456760000.0,31.768982,0.42110437,89.534065,51.54889,112604630000.0,0.7
8138,13749581000.0,402471840.0,87147860000.0,29.438541,0.23686372,87.299,49.855972,101301800000.0,0.7
8139,11342135000.0,1200423400.0,94633310000.0,24.954866,0.497445,98.924225,54.288605,107180920000.0,0.7
8140,9005949000.0,206342080.0,83742040000.0,40.873196,0.10416769,70.70303,45.850903,92954340000.0,0.7
8141,9793935000.0,1262720800.0,100586470000.0,28.22412,0.36839533,96.10938,55.464565,111646820000.0,0.7
8142,11167760000.0,348673630.0,85184960000.0,33.706245,0.23439029,78.96234,48.068947,96703504000.0,0.7
8143,9874074000.0,1557470200.0,90228800000.0,24.503796,0.635746,98.33994,54.243023,101666550000.0,0.7
8144,11754504000.0,515592300.0,86326580000.0,30.0071,0.2208037,85.106995,48.388077,98599660000.0,0.7
8145,9880923000.0,542571200.0,64619820000.0,29.901106,0.2323678,73.54248,41.78019,75044810000.0,0.7
8146,11628566000.0,799499460.0,80679260000.0,31.210598,0.2634004,80.43485,46.18727,93109740000.0,0.7
8147,10966216000.0,2945119700.0,85934100000.0,20.803871,0.72937286,111.662415,56.89181,99855900000.0,0.7
8148,13905752000.0,207997900.0,78592930000.0,35.96474,0.13030024,74.47031,44.818428,92708190000.0,0.7
8149,10334916000.0,1001748200.0,102469070000.0,25.591257,0.30242494,99.11307,54.524662,113809020000.0,0.7
8150,9705949000.0,651248640.0,101037040000.0,31.30056,0.24646361,87.70023,53.7463,111397150000.0,0.7
8151,6195202000.0,1269334900.0,62797574000.0,22.511847,0.6347872,90.75324,48.056618,70263320000.0,0.7
8152,3170338600.0,413514750.0,36743010000.0,16.42022,0.12212205,73.41517,41.544968,40326860000.0,0.7
8153,13686386000.0,449212830.0,72261810000.0,25.949245,0.37771016,89.140396,51.08785,86399754000.0,0.7
8154,10101689000.0,748636540.0,99208440000.0,31.231285,0.20492631,89.95809,51.72085,110061760000.0,0.7
8155,7183701500.0,2500330500.0,106416190000.0,28.698069,0.47045016,106.83761,56.306732,116109255000.0,0.7
8156,7774796000.0,1747515500.0,102617440000.0,24.880781,0.4877078,100.87365,57.290134,112146730000.0,0.7
8157,5261379600.0,1181011300.0,94180930000.0,29.07746,0.334069,90.82893,50.61227,100627595000.0,0.7
8158,11641722000.0,886186500.0,91057800000.0,27.465446,0.31825256,90.148,51.8235,103589160000.0,0.7
8159,8489158000.0,3002665200.0,92760250000.0,22.265701,0.5851522,110.03158,57.36756,104260970000.0,0.7
8160,9932199000.0,225980860.0,67723444000.0,39.334946,0.1378511,69.253265,40.689064,77881620000.0,0.7
8161,5549658600.0,124758860.0,55696445000.0,31.534952,0.0487778,65.04117,40.31761,61372200000.0,0.7
8162,3730647600.0,125542780.0,40759570000.0,24.90811,0.0670961,62.937153,37.36337,44615760000.0,0.7
8163,9128732000.0,1973364000.0,94416430000.0,27.789375,0.38792968,98.88483,53.329067,105526340000.0,0.7
8164,7944264000.0,524866800.0,90707510000.0,30.69227,0.15771429,83.70434,49.793686,99180000000.0,0.7
8165,7527810600.0,919628350.0,73182920000.0,24.185986,0.24757808,88.510506,48.392372,81632930000.0,0.7
8166,8318047000.0,930173200.0,102775800000.0,22.957714,0.8021098,102.47589,63.72213,112026720000.0,0.7
8167,11705023000.0,1237411000.0,90262830000.0,25.589481,0.5555261,99.77955,54.442005,103210920000.0,0.7
8168,10302240000.0,217816880.0,99573260000.0,37.294254,0.14773458,80.34792,48.459248,110093310000.0,0.7
8169,10168258000.0,1225977000.0,96904320000.0,26.186548,0.58357364,95.16345,54.79106,108302400000.0,0.7
8170,11932696000.0,540201200.0,92211225000.0,35.616108,0.1991447,80.51261,50.01077,104684110000.0,0.7
8171,9889957000.0,457422460.0,63447798000.0,29.204748,0.12705651,77.56406,42.811317,73796650000.0,0.7
8172,13086262000.0,2380068400.0,69980380000.0,20.138327,0.7334255,99.87606,53.1344,85452210000.0,0.7
8173,11113928000.0,1065156540.0,81562700000.0,29.93336,0.31330603,85.282936,47.6366,93744970000.0,0.7
8174,9664050000.0,349304770.0,94507180000.0,30.235678,0.14495288,86.35053,55.364525,104522730000.0,0.7
8175,753695170.0,119623064.0,5307016000.0,3.7769885,0.08331516,59.999634,36.979713,6180334600.0,0.7
8176,10312839000.0,964394430.0,96084850000.0,27.642395,0.21700327,94.98137,52.783707,107368096000.0,0.7
8177,10274124000.0,340839900.0,97635760000.0,35.81574,0.09436224,81.10853,47.358593,108252700000.0,0.7
8178,12240925000.0,1002491140.0,86923715000.0,28.331055,0.38762516,87.86315,49.447258,100171160000.0,0.7
8179,10880158000.0,788192500.0,91994325000.0,34.301857,0.18402554,81.547,46.27583,103664630000.0,0.7
8180,9154398000.0,849937000.0,84131365000.0,28.272907,0.23455122,87.27671,49.25892,94138260000.0,0.7
8181,12268178000.0,1001782300.0,94185020000.0,26.197487,0.22147909,96.288185,53.015438,107458470000.0,0.7
8182,10441863000.0,1048597950.0,90229260000.0,26.41309,0.26966503,92.72204,50.95815,101723900000.0,0.7
8183,10822648000.0,628992900.0,76196700000.0,35.503902,0.33672863,73.91902,46.199574,87650630000.0,0.7
8184,9879250000.0,1128034800.0,95981855000.0,26.432476,0.26927805,95.21108,53.5287,106994100000.0,0.7
8185,9554519000.0,1420595700.0,91853670000.0,27.566557,0.4770531,97.76705,52.80417,102833490000.0,0.7
8186,8505177000.0,1026725250.0,87502700000.0,28.340363,0.3127986,88.00801,52.511658,97039500000.0,0.7
8187,9533797000.0,381554530.0,70087920000.0,28.195347,0.14774027,79.63179,43.69257,80005030000.0,0.7
8188,7194216000.0,627485300.0,66151670000.0,27.198412,0.24730296,77.06071,44.764404,73974870000.0,0.7
8189,9696514000.0,1337918500.0,98903970000.0,29.60999,0.37687275,92.475395,51.37716,109943510000.0,0.7
8190,3488269800.0,103593080.0,41604450000.0,24.38363,0.051133513,63.756603,37.113087,45197610000.0,0.7
8191,9338772000.0,307182000.0,70162784000.0,33.23603,0.108184956,71.889755,42.79338,79810500000.0,0.7
8192,4356209000.0,122526400.0,40927007000.0,22.988668,0.09995334,67.7232,39.071926,45405737000.0,0.7
8193,2995592400.0,136232180.0,30961377000.0,18.057314,0.062651455,64.04191,37.647743,34094720000.0,0.7
8194,10604503000.0,363387870.0,91992060000.0,37.33806,0.1461212,77.26759,48.548454,102961960000.0,0.7
8195,11055188000.0,676796860.0,92493450000.0,25.8721,0.22856408,94.655045,52.84314,104228810000.0,0.7
8196,10138978000.0,1180895700.0,88813570000.0,29.92597,0.33956203,87.83369,49.91579,100136800000.0,0.7
8197,9973889000.0,762202240.0,91562360000.0,29.606344,0.38943946,87.52077,51.009377,102301590000.0,0.7
8198,7253710300.0,1812929800.0,103637910000.0,25.15137,0.4318715,107.54199,57.33134,112712630000.0,0.7
8199,11121208000.0,1375280900.0,93522550000.0,24.327179,0.34108943,99.622795,54.79722,106023470000.0,0.7
8200,8870231000.0,1668541200.0,100741200000.0,27.533327,0.38523835,99.33361,54.70343,111285800000.0,0.7
8201,10734216000.0,196737150.0,82168455000.0,36.387238,0.09105108,76.09932,44.88547,93100840000.0,0.7
8202,9990853000.0,1891354600.0,92761620000.0,23.947546,0.7009523,100.174484,54.984226,104651600000.0,0.7
8203,10617097000.0,1085862700.0,91254280000.0,25.285868,0.29598784,95.030594,53.78524,102962920000.0,0.7
8204,8476551700.0,1251440600.0,96192840000.0,27.39276,0.5040401,93.948814,55.63399,105924740000.0,0.7
8205,5334416000.0,177058380.0,55388353000.0,22.514866,0.062807076,76.65947,42.674706,60901433000.0,0.7
8206,9255645000.0,1148211200.0,97869430000.0,28.766523,0.38722432,91.76801,52.667397,108279070000.0,0.7
8207,9774195000.0,1399836900.0,94707280000.0,26.394968,0.47829095,95.01625,53.67905,105887870000.0,0.7
8208,11774285000.0,1449602700.0,84659530000.0,24.623058,0.5141969,95.34855,51.899536,97886770000.0,0.7
8209,10694760000.0,394966800.0,88902960000.0,34.348316,0.19290169,79.94284,47.973442,99995010000.0,0.7
8210,7061428700.0,534399870.0,87922870000.0,26.673798,0.3220896,88.47136,52.53041,95522040000.0,0.7
8211,10670858000.0,489819520.0,94753100000.0,28.855513,0.15985923,88.991165,52.499454,105916510000.0,0.7
8212,5931794000.0,133715090.0,72348025000.0,45.138508,0.057153657,62.091915,40.932255,78415000000.0,0.7
8213,11394584000.0,1310696700.0,83136750000.0,25.37145,0.4156324,90.94469,50.859863,95846556000.0,0.7
8214,10838380000.0,568077250.0,82971130000.0,31.454224,0.23892961,80.45245,47.386295,94379930000.0,0.7
8215,8791159000.0,560782200.0,99683520000.0,34.693172,0.16390397,83.479034,49.20984,109038030000.0,0.7
8216,9088572000.0,275836960.0,93785720000.0,34.147247,0.10456898,82.49931,54.253735,103151550000.0,0.7
8217,9365665000.0,1622804600.0,92054680000.0,29.91488,0.46316016,96.17572,52.1524,103047684000.0,0.7
8218,10624787000.0,1536769000.0,90242870000.0,26.58124,0.48286447,94.00559,51.97079,102409265000.0,0.7
8219,7368259000.0,764739200.0,74077250000.0,25.708866,0.16778122,85.26466,46.66372,82214050000.0,0.7
8220,10784540000.0,1479084700.0,89319500000.0,25.454832,0.43918315,95.185646,52.052002,101588010000.0,0.7
