,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{eff}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z
5754,8071829000.0,373783500.0,54409617000.0,15.639056,0.40452465,93.33177,54.434982,62855230000.0,2.0
5755,7110962000.0,183858480.0,46156430000.0,18.547298,0.30337152,81.00622,52.902626,53451250000.0,2.0
5756,362383700.0,107339240.0,3868186400.0,2.5632226,0.11024982,61.62687,40.395927,4337910000.0,2.0
5757,7772112000.0,685888200.0,52653620000.0,14.59088,0.42556268,95.265884,55.01668,61111624000.0,2.0
5758,6317225000.0,254336820.0,66387157000.0,18.23786,0.2655229,95.07026,60.799644,72959990000.0,2.0
5759,7299477500.0,312380640.0,53920477000.0,16.383448,0.32617068,89.956,55.457615,61533635000.0,2.0
5760,6559091700.0,264092380.0,63539905000.0,19.00444,0.2989864,89.35657,55.021664,70364365000.0,2.0
5761,6343738400.0,575901800.0,65159320000.0,18.32059,0.3959498,92.76338,55.355865,72080720000.0,2.0
5762,5909799400.0,200565090.0,61416370000.0,16.476969,0.24365541,94.378525,64.51316,67528004000.0,2.0
5763,423749440.0,106337550.0,2370370600.0,2.0536888,0.15375106,56.83817,36.503937,2900457500.0,2.0
5764,6564292600.0,499520260.0,60919063000.0,18.212244,0.43618137,89.91444,53.675102,67984687000.0,2.0
5765,7379247000.0,707024450.0,58799616000.0,15.016438,0.5379218,99.684395,56.833652,66887260000.0,2.0
5766,6836344000.0,389983000.0,63529013000.0,19.307194,0.4516537,89.377655,56.0397,70756570000.0,2.0
5767,6770044400.0,536610850.0,51899040000.0,16.43556,0.35441506,88.97677,49.82635,59206943000.0,2.0
5768,7619405300.0,252660740.0,49192450000.0,19.224945,0.29975632,80.14356,50.243633,57064514000.0,2.0
5769,7621593000.0,714326500.0,50710230000.0,14.160378,0.9547196,95.230865,54.87361,59046146000.0,2.0
5770,6937621000.0,543321600.0,58360840000.0,16.038698,0.58500636,95.70634,55.517914,65843050000.0,2.0
5771,6590260700.0,462803800.0,50286430000.0,15.631937,0.318794,89.94891,51.217495,57340916000.0,2.0
5772,7237645000.0,401899740.0,54100170000.0,16.413641,0.5795318,89.97839,53.833828,61739717000.0,2.0
5773,6345016300.0,544139100.0,62139640000.0,17.311268,0.38562647,93.451,55.646725,69030060000.0,2.0
5774,6625293000.0,509949280.0,61280702000.0,17.13715,0.50750154,94.241486,54.29908,68417560000.0,2.0
5775,4425501700.0,279253340.0,59283313000.0,18.66779,0.24241088,85.90384,53.149624,63989285000.0,2.0
5776,6699570700.0,217745780.0,59081850000.0,14.831231,0.4100767,98.06057,66.41405,66000384000.0,2.0
5777,5549550000.0,225015950.0,56735980000.0,19.49138,0.19977927,84.64972,57.622578,62510543000.0,2.0
5778,7367082000.0,793470400.0,53361467000.0,14.713514,0.6727338,94.958374,56.336697,61522020000.0,2.0
