,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{eff}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z
1487,13175397000.0,1236280300.0,78700010000.0,26.43775,0.1901062,87.89206,46.67177,93115990000.0,0.0
1488,6441603000.0,1634013600.0,103801270000.0,32.63672,0.11667525,94.35663,48.987316,111883985000.0,0.0
1489,10133871000.0,670080800.0,91588230000.0,33.563316,0.14246404,84.90625,45.023712,102395070000.0,0.0
1490,10840334000.0,517977000.0,73860820000.0,48.1389,0.07059123,68.03923,38.12785,85223430000.0,0.0
1491,8625800000.0,1288300000.0,96725990000.0,32.792294,0.10515823,88.09474,46.18338,106644200000.0,0.0
1492,8401023500.0,1002589000.0,99392210000.0,35.625267,0.15366983,84.26933,45.492172,108802920000.0,0.0
1493,8387453000.0,1560162800.0,94174585000.0,34.028034,0.20362154,85.6364,44.967308,104129560000.0,0.0
1494,8843128000.0,1644914700.0,92339630000.0,33.953312,0.23226604,87.76275,45.62298,102834180000.0,0.0
1495,7474471400.0,453104100.0,87370650000.0,48.398182,0.10253259,67.83742,38.82365,95301526000.0,0.0
1496,5718618600.0,2260014600.0,102698656000.0,32.636967,0.18596889,94.9868,48.86443,110684020000.0,0.0
1497,9520663000.0,370126700.0,95586180000.0,35.978924,0.044621136,84.03793,44.192623,105479640000.0,0.0
1498,7998603000.0,918492300.0,100070560000.0,39.430992,0.14957382,80.82039,44.247593,108993850000.0,0.0
1499,9250085000.0,335563230.0,86994500000.0,51.023766,0.08095504,70.619255,38.066666,96582570000.0,0.0
1500,1570706800.0,146942900.0,19948500000.0,17.805313,0.03007682,54.254295,28.672144,21666150000.0,0.0
1501,9169239000.0,945906400.0,91548295000.0,37.15198,0.11242721,81.58476,43.869812,101667970000.0,0.0
1502,6971183000.0,2480603000.0,86106060000.0,29.333412,0.19215848,95.35941,48.49007,95565630000.0,0.0
1503,12490920000.0,357550500.0,71171916000.0,39.437958,0.06367169,70.44679,40.255768,84023345000.0,0.0
1504,5511347000.0,344934530.0,41026826000.0,31.366875,0.106466934,63.422436,32.5948,46883110000.0,0.0
1505,2560885500.0,712221800.0,36880495000.0,17.233412,0.117629156,77.23891,39.55811,40154878000.0,0.0
1506,4537596400.0,963000060.0,105360790000.0,39.799137,0.099290654,81.960266,45.029728,110868234000.0,0.0
1507,7849283600.0,2366375000.0,86332930000.0,27.489569,0.53272086,91.906044,47.903053,96556760000.0,0.0
1508,10618454000.0,1901230100.0,72680170000.0,25.730032,0.31011185,89.775925,46.016354,85207990000.0,0.0
1509,8972177000.0,627592100.0,87922870000.0,35.492767,0.05752917,77.68188,42.77549,97526374000.0,0.0
1510,7774407700.0,737519900.0,94634680000.0,38.244255,0.10693427,77.55128,43.804844,103152435000.0,0.0
1511,6949903000.0,626209800.0,103616586000.0,42.39031,0.13179196,80.479095,43.44116,111197330000.0,0.0
1512,6266556400.0,750956350.0,67462988000.0,28.868296,0.17811118,80.87749,41.051655,74484630000.0,0.0
1513,8582220000.0,1912269700.0,86011690000.0,27.94385,0.18719672,93.425735,47.71711,96513410000.0,0.0
1514,7065568000.0,1049007600.0,88018150000.0,32.42676,0.16447726,82.655075,44.148754,96138200000.0,0.0
1515,9829994000.0,2467604500.0,78050705000.0,24.149982,0.122882426,91.81365,48.750343,90354760000.0,0.0
1516,6880085000.0,1129651000.0,90485620000.0,29.015028,0.19094037,91.802025,48.041435,98499970000.0,0.0
