,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{eff}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z
0,31370592000.0,16674491000.0,180113670000.0,13.113566,24.230335,214.24852,120.09798,228174100000.0,3
1,32609303000.0,6073629000.0,162372190000.0,13.0456085,9.134394,182.85115,109.356224,201063430000.0,3
2,20494596000.0,9703567000.0,139006970000.0,11.715428,9.34525,209.86072,109.523285,169224910000.0,3
3,3039812000.0,3092484900.0,14121490000.0,2.9395115,3.6372352,123.416046,72.37512,20259647000.0,3
4,2861216800.0,263462800.0,33578580000.0,11.661683,0.28696775,83.82036,48.04684,36703260000.0,3
5,3167714800.0,104814504.0,26844533000.0,11.224135,0.46006012,77.20212,53.268482,30117065000.0,3
6,3321903600.0,874307000.0,7733650400.0,4.164504,1.5431257,80.86242,49.551933,11931958000.0,3
7,2330092000.0,304146620.0,11421247000.0,3.9633687,1.6337967,88.4218,58.010586,14055485000.0,3
8,1713536400.0,1336723300.0,4818785300.0,1.9210458,1.4065311,94.22133,56.850563,7871695400.0,3
9,559135200.0,100226600.0,2787817000.0,2.2243888,0.2747812,60.099697,41.755157,3447178800.0,3
10,49025434000.0,16616954000.0,261362830000.0,20.008545,25.18923,230.12334,114.34471,327033450000.0,3
11,34920497000.0,4761072000.0,146011470000.0,17.032255,8.752156,160.25507,92.86247,185695290000.0,3
12,18140981000.0,2029471000.0,64599400000.0,9.675195,5.7184873,137.4662,83.21881,84772090000.0,3
13,10319256000.0,332894140.0,77172710000.0,16.859085,0.8228364,107.24622,69.957504,87824860000.0,3
14,8635973000.0,656737700.0,64621180000.0,12.240235,2.307918,115.87088,71.44158,73915425000.0,3
15,6172124700.0,697466300.0,48830812000.0,11.089682,0.7588535,104.08697,63.3093,55701983000.0,3
16,6244398000.0,428022800.0,43602747000.0,12.066272,0.57036483,95.272766,59.258793,50275170000.0,3
17,9202641000.0,490519100.0,25016392000.0,9.358063,1.6492622,89.558586,51.578762,34709550000.0,3
18,3579992300.0,226405120.0,30166411000.0,12.227366,0.3709283,78.88256,48.045303,33974479000.0,3
19,3007667700.0,226328780.0,23935115000.0,8.202558,0.36377338,86.86244,54.94855,27169112000.0,3
20,4175532800.0,307578620.0,17692020000.0,6.6518216,0.5179922,85.349655,53.23611,22176471000.0,3
21,3103976700.0,240721180.0,21622370000.0,8.393292,0.3288551,80.109276,48.321587,24967068000.0,3
22,2572724700.0,1054716000.0,11099542000.0,3.4388392,1.1932796,98.25435,62.058376,14729897000.0,3
23,1862724100.0,101156230.0,14589304000.0,6.7547674,0.4324808,73.42411,44.122986,16553184000.0,3
24,1099900200.0,239734020.0,1727412000.0,3.6708248,0.36543283,46.1399,23.852615,3067046000.0,3
25,868065400.0,186544210.0,2251488800.0,1.9062489,0.50218946,62.53291,39.28157,3306098400.0,3
26,35502707000.0,13528159000.0,135261300000.0,8.386741,32.436264,221.45667,127.6969,184306370000.0,3
27,24945275000.0,5781064000.0,120203740000.0,11.513617,8.730059,168.75987,99.13664,150935780000.0,3
28,14701655000.0,2800527600.0,31719588000.0,5.037517,11.700494,146.47482,88.36363,49225480000.0,3
29,5258909700.0,439685570.0,71597980000.0,15.009521,0.62984914,105.48172,68.67116,77298140000.0,3
30,9566410000.0,2049432700.0,35677610000.0,5.7733765,6.1439095,134.45515,86.4935,47295320000.0,3
31,6700594700.0,1020896640.0,34506950000.0,7.3838663,1.318526,112.55045,67.544754,42230227000.0,3
32,4003139800.0,239214930.0,28934038000.0,12.5577345,0.25414345,76.505905,45.39584,33177770000.0,3
33,4808143400.0,787999400.0,12816063000.0,4.975124,1.7267097,89.44795,55.687576,18412206000.0,3
34,4146696700.0,118292376.0,17315865000.0,10.452407,0.2688561,67.60002,39.656178,21580853000.0,3
35,1570920300.0,166776220.0,13650955000.0,5.4490604,0.27983204,79.148155,49.213398,15388653000.0,3
36,9326700000.0,1074670200.0,58697064000.0,10.685946,1.6579746,118.836266,70.67072,69100780000.0,3
37,1173178200.0,212898830.0,3988883200.0,2.366065,0.6400597,71.47484,46.651615,5374960000.0,3
38,245669300000.0,65781875000.0,1697965300000.0,41.22218,120.34469,583.1618,210.33983,2009544100000.0,3
39,100567970000.0,61623430000.0,969443000000.0,33.57258,51.161934,384.28146,173.96025,1131708500000.0,3
40,4403844000.0,4073019000.0,17002326000.0,3.3058486,3.984156,128.98564,78.826836,25484910000.0,3
41,3287812000.0,2465979400.0,10254665000.0,2.3471432,3.5898087,121.83534,72.00598,16014346000.0,3
42,2809166800.0,338717730.0,21801146000.0,7.121267,0.3656209,87.86951,51.76654,24949030000.0,3
43,222955300000.0,43684160000.0,1456327200000.0,48.62164,88.7775,378.04495,178.88036,1723009000000.0,3
44,86592370000.0,18147940000.0,395488850000.0,28.621174,23.49038,202.98766,125.964905,500247070000.0,3
45,37326954000.0,9801197000.0,201768710000.0,16.379784,14.216311,194.66095,117.24623,248915700000.0,3
46,9577071000.0,1805607300.0,41891670000.0,10.021392,1.6026198,107.409744,67.66413,53277364000.0,3
