,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{eff}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z
0,25484634000.0,4462704600.0,276161760000.0,68.23216,0.47329196,113.34653,59.979008,306125370000.0,0.1
1,7309188600.0,18994915000.0,115689415000.0,15.901473,1.5351144,138.58556,78.12693,142018800000.0,0.1
2,11404273000.0,5806918000.0,93830185000.0,31.828045,0.9028721,105.37586,51.657337,111053350000.0,0.1
3,4650813400.0,5998723000.0,89061770000.0,16.389633,1.1811227,115.79246,68.18605,99727610000.0,0.1
4,6237558000.0,2386728400.0,94795770000.0,25.839972,0.5189943,99.240845,51.96313,103428055000.0,0.1
5,1641561600.0,660635840.0,45836083000.0,17.237543,0.21300203,77.94514,46.994415,48142836000.0,0.1
6,822632700.0,320449820.0,35129037000.0,19.092907,0.09004499,64.310555,37.030087,36273725000.0,0.1
7,1048783740.0,494539870.0,28482558000.0,17.73898,0.10091559,60.546215,35.41124,30027432000.0,0.1
8,1085732400.0,173305280.0,26707958000.0,19.44265,0.07147722,56.78677,32.25034,27966996000.0,0.1
9,1565989900.0,573005950.0,19959845000.0,10.091322,0.10704032,71.03145,40.85861,22100195000.0,0.1
10,257731800.0,261804880.0,18407123000.0,12.465053,0.08067425,57.636242,37.223816,18926660000.0,0.1
11,57116836000.0,88411380000.0,1170435700000.0,56.57183,2.5072463,285.62515,133.25684,1316185600000.0,0.1
12,15307130000.0,206455670000.0,276257080000.0,10.148646,6.813506,424.767,210.43501,498570900000.0,0.1
13,44704248000.0,75552930000.0,966667400000.0,57.9257,5.256564,255.2652,125.277794,1087103300000.0,0.1
14,22810262000.0,39510250000.0,468699900000.0,34.08606,1.3806456,193.59215,104.003456,531051350000.0,0.1
15,19378410000.0,8298459600.0,219617260000.0,34.449635,1.9708726,128.52504,72.26302,247310530000.0,0.1
16,6574677000.0,5237681700.0,114688000000.0,24.457449,0.7874881,112.43537,60.127106,126514030000.0,0.1
17,9368158000.0,5294876700.0,89606720000.0,21.989418,0.85952187,118.839,58.592613,104284865000.0,0.1
18,6201181000.0,3300473900.0,102319325000.0,23.506935,0.23677662,104.46891,56.97968,111830835000.0,0.1
19,5450523600.0,4588025000.0,83896320000.0,19.176924,0.37933463,105.8308,57.597565,93946290000.0,0.1
20,8670629000.0,1378736900.0,90153484000.0,26.72738,0.62961507,93.27387,50.749657,100209390000.0,0.1
21,1448892900.0,9092950000.0,61535700000.0,11.337017,0.43534318,123.2449,66.78645,72096080000.0,0.1
22,5419621000.0,1913535400.0,76079640000.0,24.124973,0.5445588,88.62593,50.111885,83420496000.0,0.1
23,3362100500.0,1345741000.0,50869944000.0,18.702415,0.22316763,84.470634,44.850357,55583826000.0,0.1
24,2545092400.0,1742370800.0,18594521000.0,7.772034,0.19209695,79.64402,45.47754,22887852000.0,0.1
25,532666460.0,1518741900.0,28294707000.0,12.857974,0.17215146,76.45607,44.45673,30348708000.0,0.1
26,4088853000.0,106328430000.0,589961360000.0,27.802933,1.5754097,315.629,143.29884,700683400000.0,0.1
27,2660125000.0,9144989000.0,142578420000.0,26.794033,0.5162646,127.900055,63.13447,154405800000.0,0.1
28,12550888000.0,5393282600.0,102899210000.0,26.116274,0.82929796,104.76605,56.839764,120852690000.0,0.1
29,2627378700.0,5969970000.0,101524820000.0,19.65484,0.6850475,119.13658,66.85417,110143620000.0,0.1
30,6752883000.0,5509401600.0,31243604000.0,8.649385,1.8994241,113.99479,61.203682,43527676000.0,0.1
31,3475067400.0,1238627300.0,73345810000.0,31.238789,0.22813892,86.84676,43.28743,78063470000.0,0.1
32,2548629000.0,1894472200.0,55260393000.0,17.64307,0.19314907,86.28886,49.335728,59709940000.0,0.1
33,342110500000.0,255916800000.0,5726944600000.0,162.80469,7.388142,402.90265,184.11151,6325338000000.0,0.1
34,32967938000.0,86865070000.0,387415380000.0,24.15378,5.111186,312.41632,128.47421,507445250000.0,0.1
35,51651330000.0,17939767000.0,412652700000.0,45.618767,2.4147,152.42842,85.89065,482262680000.0,0.1
36,14368292000.0,32472322000.0,362846800000.0,41.544155,1.0760608,200.8574,91.605354,409799300000.0,0.1
37,19080092000.0,14550277000.0,380987600000.0,63.500633,1.4385444,140.55516,72.13229,414655100000.0,0.1
38,8686641000.0,16845898000.0,179264260000.0,23.366116,1.7956048,150.23132,80.891075,204820400000.0,0.1
39,19991142000.0,6209142300.0,163420800000.0,26.905146,0.53149545,124.16449,69.72814,189634600000.0,0.1
40,7965802000.0,10801061000.0,81158420000.0,13.135108,1.1404274,128.66396,78.8975,99945270000.0,0.1
41,7090049000.0,9477127000.0,78279390000.0,12.925894,1.8639421,139.66748,75.56231,94880300000.0,0.1
